Randomizer Version: 4.6.0
Random Seed: 128137046630631
Settings String: 321YRgEegFfAloCVwKSxgSehhsIagfGasY9GAABmwAAAAAARAKA0Mna/JQJCTIGBgTkWwUQE1Bva2Vtb24gQmxhY2sgMiAoRym+Bj4148M4ig==

--Pokemon Base Stats & Types--
NUM|NAME         |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ABILITY3    |ITEM
103|Kokowei      |GRASS/PSYCHIC    |  95|  95|  85| 125|  65|  55|Voltabsorber|Kurzschluss |Schneemantel|Linganbeere (dark grass only)
104|Tragosso     |GROUND           |  50|  50|  95|  40|  50|  35|Erzwinger   |Tastfluch   |Übereifer   |Scheuchrauch (dark grass only)
105|Knogga       |GROUND           |  60|  80| 110|  50|  80|  45|Erzwinger   |Tastfluch   |Übereifer   |Heiß-Orb (common), Fokus-Band (dark grass only)
106|Kicklee      |FIGHTING         |  50| 120|  53|  35| 110|  87|Sandsturm   |Reiche Ernte|Scherenmacht|Wasserstein (common), Scheuchrauch (rare), Babiribeere (dark grass only)
107|Nockchan     |FIGHTING         |  50| 105|  79|  35| 110|  76|Entlastung  |Fußangel    |Synchro     |Lydzibeere (common), X-Tempo (rare)
108|Schlurp      |NORMAL           |  90|  55|  75|  60|  75|  30|Schwermetall|Schwebedurch|Redlichkeit |Chiaribeere (dark grass only)
109|Smogon       |POISON           |  40|  65|  95|  60|  45|  35|Strolch     |Angsthase   |Panzerhaut  |Jonagobeere (rare), Zink (dark grass only)
110|Smogmog      |POISON           |  65|  90| 120|  85|  70|  60|Strolch     |Angsthase   |Panzerhaut  |Elektrojuwel (dark grass only)
111|Rihorn       |GROUND/ROCK      |  80|  85|  95|  30|  30|  25|Floraschild |Redlichkeit |Immunität   |Rote Flöte (dark grass only)
112|Rizeros      |GROUND/ROCK      | 105| 130| 120|  45|  45|  40|Floraschild |Redlichkeit |Immunität   |Persimbeere (dark grass only)
113|Chaneira     |NORMAL           | 250|   5|   5|  35| 105|  50|Superschütze|Speckschicht|Analyse     |
114|Tangela      |GRASS            |  65|  55| 115| 100|  40|  60|Magieschild |Steinhaupt  |Anspannung  |Alte Statue (common), Magnet (rare), Wahlschal (dark grass only)
115|Kangama      |NORMAL           | 105|  95|  80|  40|  80|  90|Magiespiegel|Schwebe     |Frühwecker  |Eisentafel (dark grass only)
116|Seeper       |WATER            |  30|  40|  70|  70|  25|  60|Vegetarier  |Bruchrüstung|Analyse     |Wurzelfossil (dark grass only)
117|Seemon       |WATER            |  55|  65|  95|  95|  45|  85|Vegetarier  |Bruchrüstung|Analyse     |Wahlglas (dark grass only)
118|Goldini      |WATER            |  45|  67|  60|  35|  50|  63|Sturmsog    |Belebekraft |Insomnia    |Protein (rare)
119|Golking      |WATER            |  80|  92|  65|  65|  80|  68|Sturmsog    |Belebekraft |Insomnia    |Premierball (common)
120|Sterndu      |WATER            |  30|  45|  55|  70|  55|  85|Trugbild    |Dürre       |Siegeswille |Latchibeere (100%)
121|Starmie      |WATER/PSYCHIC    |  60|  75|  85| 100|  85| 115|Trugbild    |Dürre       |Siegeswille |Nassbrocken (rare), Schildfossil (dark grass only)
122|Pantimos     |PSYCHIC          |  40|  45|  65| 100| 120|  90|Wertehalter |Erzwinger   |Großbrand   |Limonade (dark grass only)
123|Sichlor      |BUG/FLYING       |  70| 110|  80|  55|  80| 105|Statik      |Duftnote    |Floraschild |Machtlinse (dark grass only)
124|Rossana      |ICE/PSYCHIC      |  65|  50|  35| 115|  95|  95|Feuerfänger |Sandgewalt  |Adrenalin   |Maronbeere (100%)
125|Elektek      |ELECTRIC         |  65|  83|  57|  95|  85| 105|Statik      |Panzerhaut  |Sandscharrer|
126|Magmar       |FIRE             |  65|  95|  57| 100|  85|  93|Notdünger   |Rasanz      |Edelmut     |King-Stein (common)
127|Pinsir       |BUG              |  65| 125| 100|  55|  70|  85|Regulierung |Superschütze|Wertehalter |Laxrauch (common)
128|Tauros       |NORMAL           |  75| 100|  95|  40|  70| 110|Angsthase   |Scherenmacht|Wertehalter |AP-Top (rare), Alte Krone (dark grass only)
129|Karpador     |WATER            |  20|  10|  55|  15|  20|  80|Flammkörper |Analyse     |Magieschild |Feuerheiler (100%)
130|Garados      |WATER/FLYING     |  95| 125|  79|  60| 100|  81|Flammkörper |Analyse     |Magieschild |
131|Lapras       |WATER/ICE        | 130|  85|  80|  85|  95|  60|Hitzewahn   |Adrenalin   |Flammkörper |KP-Plus (rare)
132|Ditto        |NORMAL           |  48|  48|  48|  48|  48|  48|Scherenmacht|Schneemantel|Vegetarier  |Granitstein (dark grass only)
133|Evoli        |NORMAL           |  55|  55|  50|  45|  65|  55|Expidermis  |Kampfpanzer |Dösigkeit   |Amrenabeere (dark grass only)
134|Aquana       |WATER            | 130|  65|  60| 110|  95|  65|Kurzschluss |Eishaut     |Chlorophyll |Nugget (dark grass only)
135|Blitza       |ELECTRIC         |  65|  65|  60| 110|  95| 130|Mumie       |Neutraltorso|Wassertempo |
136|Flamara      |FIRE             |  65| 130|  60|  95| 110|  65|Hochmut     |Temposchub  |Charmebolzen|AP-Top (common), X-Abwehr (rare)
137|Porygon      |NORMAL           |  65|  60|  70|  85|  75|  40|Triumphstern|Siegeswille |Frühwecker  |Apikobeere (dark grass only)
138|Amonitas     |ROCK/WATER       |  35|  40| 100|  90|  55|  35|Triumphstern|Innere Kraft|Trockenheit |Gifttafel (dark grass only)
139|Amoroso      |ROCK/WATER       |  70|  60| 125| 115|  70|  55|Triumphstern|Innere Kraft|Trockenheit |Tahaybeere (rare), Superball (dark grass only)
140|Kabuto       |ROCK/WATER       |  30|  80|  90|  55|  45|  55|Sporenwirt  |Aquahülle   |Insomnia    |Fokusgurt (common)
141|Kabutops     |ROCK/WATER       |  60| 115| 105|  65|  70|  80|Sporenwirt  |Aquahülle   |Insomnia    |
142|Aerodactyl   |ROCK/FLYING      |  80| 105|  65|  60|  75| 130|Analyse     |Rivalität   |Bruchrüstung|
143|Relaxo       |NORMAL           | 160| 110|  65|  65| 110|  30|Puderabwehr |Schildlos   |Starthilfe  |Metallmantel (100%)
144|Arktos       |ICE/FLYING       |  90|  85| 100|  95| 125|  85|Rauflust    |Sandsturm   |Übereifer   |Rauchball (common), Wiesentafel (dark grass only)
145|Zapdos       |ELECTRIC/FLYING  |  90|  90|  85| 125|  90| 100|Techniker   |Langfinger  |Hasenfuß    |
146|Lavados      |FIRE/FLYING      |  90| 100|  90| 125|  85|  90|Aufwertung  |Flammkörper |Giftdorn    |
147|Dratini      |DRAGON           |  41|  64|  45|  50|  50|  50|Statik      |Hasenfuß    |Sandscharrer|Erdtafel (common), Sternenstück (dark grass only)
148|Dragonir     |DRAGON           |  61|  84|  65|  70|  70|  70|Statik      |Hasenfuß    |Sandscharrer|Hyperheiler (common)
149|Dragoran     |DRAGON/FLYING    |  91| 134|  95| 100| 100|  80|Statik      |Hasenfuß    |Sandscharrer|Tsitrubeere (dark grass only)
150|Mewtu        |PSYCHIC          | 106| 110|  90| 154|  90| 130|H2O-Absorber|Belebekraft |Duftnote    |Pirsifbeere (dark grass only)
151|Mew          |PSYCHIC          | 100| 100| 100| 100| 100| 100|Fußangel    |Glückspilz  |Wankelmut   |X-Treffer (common), Fluchtseil (rare)
152|Endivie      |GRASS            |  45|  49|  65|  49|  65|  45|Doppelgänger|Mitnahme    |Klimaschutz |Pyapabeere (dark grass only)
153|Lorblatt     |GRASS            |  60|  62|  80|  63|  80|  60|Doppelgänger|Mitnahme    |Klimaschutz |
154|Meganie      |GRASS            |  80|  82| 100|  83| 100|  80|Doppelgänger|Mitnahme    |Klimaschutz |Sanftglocke (dark grass only)
155|Feurigel     |FIRE             |  39|  52|  43|  60|  50|  65|Duftnote    |Siegeswille |Aquahülle   |
156|Igelavar     |FIRE             |  58|  64|  58|  80|  65|  80|Duftnote    |Siegeswille |Aquahülle   |Pirsifbeere (rare)
157|Tornupto     |FIRE             |  78|  84|  78| 109|  85| 100|Duftnote    |Siegeswille |Aquahülle   |
158|Karnimani    |WATER            |  50|  65|  64|  44|  48|  43|Regengenuss |Download    |Leichtmetall|Luftballon (common), Stahljuwel (rare), Wiesentafel (dark grass only)
159|Tyracroc     |WATER            |  65|  80|  80|  59|  63|  58|Regengenuss |Download    |Leichtmetall|Wolkentafel (common)
160|Impergator   |WATER            |  85| 105| 100|  79|  83|  78|Regengenuss |Download    |Leichtmetall|Blitzmodul (common)
161|Wiesor       |NORMAL           |  35|  46|  34|  35|  45|  20|Notschutz   |Solarkraft  |Achtlos     |Roselbeere (rare), Aufwecker (dark grass only)
162|Wiesenior    |NORMAL           |  85|  76|  64|  45|  55|  90|Notschutz   |Solarkraft  |Achtlos     |Aquamodul (common), Schwerschwf. (rare)
163|Hoothoot     |NORMAL/FLYING    |  60|  30|  30|  36|  56|  50|Steinhaupt  |Unkenntnis  |Lärmschutz  |Metronom (dark grass only)
164|Noctuh       |NORMAL/FLYING    | 100|  50|  50|  76|  96|  70|Steinhaupt  |Unkenntnis  |Lärmschutz  |
165|Ledyba       |BUG/FLYING       |  40|  20|  30|  40|  80|  55|Statik      |Innere Kraft|Fährte      |
166|Ledian       |BUG/FLYING       |  55|  35|  50|  55| 110|  85|Statik      |Innere Kraft|Fährte      |Weiße Flöte (dark grass only)
167|Webarak      |BUG/POISON       |  40|  60|  40|  40|  40|  30|Trugbild    |Multischuppe|Dösigkeit   |Alter Reif (dark grass only)
168|Ariados      |BUG/POISON       |  70|  90|  70|  60|  60|  40|Trugbild    |Multischuppe|Dösigkeit   |Glücksrauch (dark grass only)
169|Iksbat       |POISON/FLYING    |  85|  90|  80|  70|  80| 130|Adrenalin   |Giftwahn    |Hagelalarm  |
170|Lampi        |WATER/ELECTRIC   |  75|  38|  38|  56|  56|  67|Reiche Ernte|Sandscharrer|Tempomacher |Perle (rare)
171|Lanturn      |WATER/ELECTRIC   | 125|  58|  58|  76|  76|  67|Reiche Ernte|Sandscharrer|Tempomacher |
172|Pichu        |ELECTRIC         |  20|  40|  15|  35|  35|  60|Wetterfest  |Giftgriff   |Sturzbach   |Carbon (dark grass only)
173|Pii          |NORMAL           |  50|  25|  28|  45|  55|  15|Angsthase   |Großbrand   |Rivalität   |Kraftfeder (common)
174|Fluffeluff   |NORMAL           |  90|  30|  15|  40|  20|  15|Erzwinger   |Flexibilität|Belebekraft |Tahaybeere (rare), Düsterumhang (dark grass only)
175|Togepi       |NORMAL           |  35|  20|  65|  40|  65|  20|Facettenauge|Dösigkeit   |Magiespiegel|Feuertafel (common), Weiße Flöte (rare)
176|Togetic      |NORMAL/FLYING    |  55|  40|  85|  80| 105|  40|Facettenauge|Dösigkeit   |Magiespiegel|Heißbrocken (dark grass only)
177|Natu         |PSYCHIC/FLYING   |  40|  50|  45|  70|  45|  70|Techniker   |Innere Kraft|Belebekraft |EP-Teiler (common), Muskelband (rare)
178|Xatu         |PSYCHIC/FLYING   |  65|  75|  70|  95|  70|  95|Techniker   |Innere Kraft|Belebekraft |Premierball (dark grass only)
179|Voltilamm    |ELECTRIC         |  55|  40|  40|  65|  45|  35|Trockenheit |Sandscharrer|Strolch     |Spuktafel (common), Tanigabeere (rare)
180|Waaty        |ELECTRIC         |  70|  55|  55|  80|  60|  45|Trockenheit |Sandscharrer|Strolch     |Evolith (common), Wasserstein (rare), Giftjuwel (dark grass only)
181|Ampharos     |ELECTRIC         |  90|  75|  75| 115|  90|  55|Trockenheit |Sandscharrer|Strolch     |Schildfossil (common), Eisheiler (dark grass only)
182|Blubella     |GRASS            |  75|  80|  85|  90| 100|  50|Expidermis  |Schildlos   |Superschütze|Fluchtseil (dark grass only)
183|Marill       |WATER            |  70|  20|  50|  20|  50|  40|Saugnapf    |Anspannung  |Völlerei    |
184|Azumarill    |WATER            | 100|  50|  80|  50|  80|  50|Saugnapf    |Anspannung  |Völlerei    |Funkelstein (100%)
185|Mogelbaum    |ROCK             |  70| 100| 115|  30|  65|  30|Wassertempo |Aufwertung  |Analyse     |Fluchtseil (common), Gegengift (dark grass only)
186|Quaxo        |WATER            |  90|  75|  75|  90| 100|  70|Dürre       |Rohe Gewalt |Fußangel    |
187|Hoppspross   |GRASS/FLYING     |  35|  35|  40|  35|  55|  50|Dösigkeit   |Sandsturm   |Immunität   |Prunusbeere (common), Fluchtseil (dark grass only)
188|Hubelupf     |GRASS/FLYING     |  55|  45|  50|  45|  65|  80|Dösigkeit   |Sandsturm   |Immunität   |Heilfeder (dark grass only)
189|Papungha     |GRASS/FLYING     |  75|  55|  70|  55|  85| 110|Dösigkeit   |Sandsturm   |Immunität   |Wundersaat (dark grass only)
