Randomizer Version: 4.6.0
Random Seed: 58742429271623
Settings String: 321aRgEejHAAnkCcwGyvBCeAxliMgMAFAA9CQABugAAAAAAAgCI5ATkzKcJCTIHBwTkUQUQCVBva2Vtb24gWaOSWAfjwziK

--Pokemon Base Stats & Types--
NUM|NAME            |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1      |ABILITY2      |ABILITY3      |ITEM
 32|Nidoran♂        |POISON           |  46|  57|  40|  40|  40|  50|Harvest       |Big Pecks     |Motor Drive   |
 33|Nidorino        |POISON           |  61|  72|  57|  55|  55|  65|Harvest       |Big Pecks     |Motor Drive   |Max Potion (common)
 34|Nidoking        |POISON/GROUND    |  81| 102|  77|  85|  75|  85|Harvest       |Big Pecks     |Motor Drive   |Jaw Fossil (common)
 35|Clefairy        |FAIRY            |  70|  45|  48|  60|  65|  35|Technician    |Multiscale    |Sniper        |Sacred Ash (100%)
 36|Clefable        |FAIRY            |  95|  70|  73|  95|  90|  60|Technician    |Multiscale    |Sniper        |Power Weight (100%)
 37|Vulpix          |FIRE             |  38|  41|  40|  50|  65|  65|Illuminate    |Unaware       |Technician    |
 38|Ninetales       |FIRE             |  73|  76|  75|  81| 100| 100|Illuminate    |Unaware       |Technician    |
 39|Jigglypuff      |NORMAL/FAIRY     | 115|  45|  20|  45|  25|  20|Speed Boost   |Healer        |No Guard      |Focus Band (rare)
 40|Wigglytuff      |NORMAL/FAIRY     | 140|  70|  45|  85|  50|  45|Speed Boost   |Healer        |No Guard      |
 41|Zubat           |POISON/FLYING    |  40|  45|  35|  30|  40|  55|Aftermath     |Justified     |Dark Aura     |Bug Gem (rare)
 42|Golbat          |POISON/FLYING    |  75|  80|  70|  65|  75|  90|Aftermath     |Justified     |Dark Aura     |
 43|Oddish          |GRASS/POISON     |  45|  50|  55|  75|  65|  30|Immunity      |Skill Link    |Drought       |Spooky Plate (common), Shuca Berry (rare)
 44|Gloom           |GRASS/POISON     |  60|  65|  70|  85|  75|  40|Immunity      |Skill Link    |Drought       |
 45|Vileplume       |GRASS/POISON     |  75|  80|  85| 110|  90|  50|Refrigerate   |Huge Power    |Swift Swim    |Iron Ball (common), Max Ether (rare)
 46|Paras           |BUG/GRASS        |  35|  70|  55|  45|  55|  25|Intimidate    |Fur Coat      |Normalize     |Draco Plate (rare)
 47|Parasect        |BUG/GRASS        |  60|  95|  80|  60|  80|  30|Intimidate    |Fur Coat      |Normalize     |Ultra Ball (common)
 48|Venonat         |BUG/POISON       |  60|  55|  50|  40|  55|  45|Poison Point  |Compound Eyes |Motor Drive   |Sail Fossil (rare)
 49|Venomoth        |BUG/POISON       |  70|  65|  60|  90|  75|  90|Poison Point  |Compound Eyes |Motor Drive   |
 50|Diglett         |GROUND           |  10|  55|  25|  35|  45|  95|Shield Dust   |Aftermath     |Early Bird    |Pixie Plate (common), Kasib Berry (rare)
 51|Dugtrio         |GROUND           |  35|  80|  50|  50|  70| 120|Shield Dust   |Aftermath     |Early Bird    |
 52|Meowth          |NORMAL           |  40|  45|  35|  40|  40|  90|Imposter      |Gooey         |Volt Absorb   |
 53|Persian         |NORMAL           |  65|  70|  60|  65|  65| 115|Imposter      |Gooey         |Volt Absorb   |
 54|Psyduck         |WATER            |  50|  52|  48|  65|  50|  55|Liquid Ooze   |Symbiosis     |Sand Veil     |
 55|Golduck         |WATER            |  80|  82|  78|  95|  80|  85|Liquid Ooze   |Symbiosis     |Sand Veil     |Sharp Beak (common), Rock Incense (rare)
 56|Mankey          |FIGHTING         |  40|  80|  35|  35|  45|  70|Drizzle       |Cute Charm    |Sweet Veil    |
 57|Primeape        |FIGHTING         |  65| 105|  60|  60|  70|  95|Drizzle       |Cute Charm    |Sweet Veil    |Focus Band (rare)
 58|Growlithe       |FIRE             |  55|  70|  45|  70|  50|  60|Ice Body      |Scrappy       |Contrary      |Premier Ball (common)
 59|Arcanine        |FIRE             |  90| 110|  80| 100|  80|  95|Ice Body      |Scrappy       |Contrary      |Light Clay (100%)
 60|Poliwag         |WATER            |  40|  50|  40|  40|  40|  90|Overgrow      |Magic Bounce  |Synchronize   |Razor Fang (common)
 61|Poliwhirl       |WATER            |  65|  65|  65|  50|  50|  90|Overgrow      |Magic Bounce  |Synchronize   |
 62|Poliwrath       |WATER/FIGHTING   |  90|  95|  95|  70|  90|  70|Volt Absorb   |Dark Aura     |Gluttony      |
 63|Abra            |PSYCHIC          |  25|  20|  15| 105|  55|  90|Flash Fire    |Cute Charm    |Drought       |
 64|Kadabra         |PSYCHIC          |  40|  35|  30| 120|  70| 105|Flash Fire    |Cute Charm    |Drought       |
 65|Alakazam        |PSYCHIC          |  55|  50|  45| 135|  95| 120|Flash Fire    |Cute Charm    |Drought       |
 66|Machop          |FIGHTING         |  70|  80|  50|  35|  35|  35|Magma Armor   |Shed Skin     |Competitive   |Wacan Berry (common), Tyranitarite (rare)
 67|Machoke         |FIGHTING         |  80| 100|  70|  50|  60|  45|Magma Armor   |Shed Skin     |Competitive   |
 68|Machamp         |FIGHTING         |  90| 130|  80|  65|  85|  55|Magma Armor   |Shed Skin     |Competitive   |Gyaradosite (rare)
 69|Bellsprout      |GRASS/POISON     |  50|  75|  35|  70|  30|  40|Tough Claws   |Poison Heal   |Iron Fist     |Icicle Plate (100%)
 70|Weepinbell      |GRASS/POISON     |  65|  90|  50|  85|  45|  55|Tough Claws   |Poison Heal   |Iron Fist     |
 71|Victreebel      |GRASS/POISON     |  80| 105|  65| 100|  70|  70|Tough Claws   |Poison Heal   |Iron Fist     |
 72|Tentacool       |WATER/POISON     |  40|  40|  35|  50| 100|  70|Static        |Drizzle       |Gluttony      |
 73|Tentacruel      |WATER/POISON     |  80|  70|  65|  80| 120| 100|Static        |Drizzle       |Gluttony      |
 74|Geodude         |ROCK/GROUND      |  40|  80| 100|  30|  30|  20|Oblivious     |Poison Touch  |Chlorophyll   |
 75|Graveler        |ROCK/GROUND      |  55|  95| 115|  45|  45|  35|Oblivious     |Poison Touch  |Chlorophyll   |Absolite (common)
 76|Golem           |ROCK/GROUND      |  80| 120| 130|  55|  65|  45|Oblivious     |Poison Touch  |Chlorophyll   |
 77|Ponyta          |FIRE             |  50|  85|  55|  65|  65|  90|Contrary      |Flame Body    |Limber        |Claw Fossil (common)
 78|Rapidash        |FIRE             |  65| 100|  70|  80|  80| 105|Contrary      |Flame Body    |Limber        |
 79|Slowpoke        |WATER/PSYCHIC    |  90|  65|  65|  40|  40|  15|Immunity      |Reckless      |Sniper        |Black Sludge (100%)
 80|Slowbro         |WATER/PSYCHIC    |  95|  75| 110| 100|  80|  30|Serene Grace  |Telepathy     |Lightning Rod |
 81|Magnemite       |ELECTRIC/STEEL   |  25|  35|  70|  95|  55|  45|Defiant       |Sand Stream   |Color Change  |Expert Belt (100%)
 82|Magneton        |ELECTRIC/STEEL   |  50|  60|  95| 120|  70|  70|Defiant       |Sand Stream   |Color Change  |
 83|Farfetch’d      |NORMAL/FLYING    |  52|  65|  55|  58|  62|  60|Storm Drain   |Insomnia      |Magician      |X Sp. Atk (common)
 84|Doduo           |NORMAL/FLYING    |  35|  85|  45|  35|  35|  75|Illuminate    |Pickpocket    |Marvel Scale  |
 85|Dodrio          |NORMAL/FLYING    |  60| 110|  70|  60|  60| 100|Illuminate    |Pickpocket    |Marvel Scale  |
 86|Seel            |WATER            |  65|  45|  55|  45|  70|  45|Sap Sipper    |Pickup        |Sturdy        |
 87|Dewgong         |WATER/ICE        |  90|  70|  80|  70|  95|  70|Sap Sipper    |Pickup        |Sturdy        |
 88|Grimer          |POISON           |  80|  80|  50|  40|  50|  25|Pickup        |Snow Warning  |Victory Star  |
 89|Muk             |POISON           | 105| 105|  75|  65| 100|  50|Pickup        |Snow Warning  |Victory Star  |Douse Drive (common)
 90|Shellder        |WATER            |  30|  65| 100|  45|  25|  40|Static        |Early Bird    |Illuminate    |
 91|Cloyster        |WATER/ICE        |  50|  95| 180|  85|  45|  70|Static        |Early Bird    |Illuminate    |
 92|Gastly          |GHOST/POISON     |  30|  35|  30| 100|  35|  80|Tinted Lens   |Water Absorb  |Torrent       |Lum Berry (common)
 93|Haunter         |GHOST/POISON     |  45|  50|  45| 115|  55|  95|Tinted Lens   |Water Absorb  |Torrent       |Absolite (common)
 94|Gengar          |GHOST/POISON     |  60|  65|  60| 130|  75| 110|Tinted Lens   |Water Absorb  |Torrent       |
 95|Onix            |ROCK/GROUND      |  35|  45| 160|  30|  45|  70|Skill Link    |Pressure      |Pickpocket    |
 96|Drowzee         |PSYCHIC          |  60|  48|  45|  43|  90|  42|Solar Power   |Toxic Boost   |Rock Head     |Fist Plate (common), Smooth Rock (rare)
 97|Hypno           |PSYCHIC          |  85|  73|  70|  73| 115|  67|Solar Power   |Toxic Boost   |Rock Head     |
 98|Krabby          |WATER            |  30| 105|  90|  25|  25|  50|Water Absorb  |Flower Veil   |Limber        |
 99|Kingler         |WATER            |  55| 130| 115|  50|  50|  75|Water Absorb  |Flower Veil   |Limber        |Smooth Rock (common), Amulet Coin (rare)
100|Voltorb         |ELECTRIC         |  40|  30|  50|  55|  55| 100|Sniper        |Leaf Guard    |Dry Skin      |Starf Berry (common), Custap Berry (rare)
101|Electrode       |ELECTRIC         |  60|  50|  70|  80|  80| 140|Sniper        |Leaf Guard    |Dry Skin      |
102|Exeggcute       |GRASS/PSYCHIC    |  60|  40|  80|  60|  45|  40|Suction Cups  |Illusion      |Pixilate      |
103|Exeggutor       |GRASS/PSYCHIC    |  95|  95|  85| 125|  65|  55|Suction Cups  |Illusion      |Pixilate      |Twisted Spoon (rare)
104|Cubone          |GROUND           |  50|  50|  95|  40|  50|  35|Water Absorb  |Illuminate    |Soundproof    |
105|Marowak         |GROUND           |  60|  80| 110|  50|  80|  45|Water Absorb  |Illuminate    |Soundproof    |Timer Ball (100%)
106|Hitmonlee       |FIGHTING         |  50| 120|  53|  35| 110|  87|Volt Absorb   |Rattled       |Blaze         |Genius Wing (rare)
107|Hitmonchan      |FIGHTING         |  50| 105|  79|  35| 110|  76|Fairy Aura    |Friend Guard  |Synchronize   |
108|Lickitung       |NORMAL           |  90|  55|  75|  60|  75|  30|Guts          |Ice Body      |Motor Drive   |Protector (common), Comet Shard (rare)
109|Koffing         |POISON           |  40|  65|  95|  60|  45|  35|Tinted Lens   |Moody         |Intimidate    |
110|Weezing         |POISON           |  65|  90| 120|  85|  70|  60|Tinted Lens   |Moody         |Intimidate    |Tyranitarite (common), Toxic Orb (rare)
111|Rhyhorn         |GROUND/ROCK      |  80|  85|  95|  30|  30|  25|Unaware       |Vital Spirit  |Fairy Aura    |Grass Gem (common)
112|Rhydon          |GROUND/ROCK      | 105| 130| 120|  45|  45|  40|Unaware       |Vital Spirit  |Fairy Aura    |Hyper Potion (common), Safety Goggles (rare)
113|Chansey         |NORMAL           | 250|   5|   5|  35| 105|  50|Adaptability  |Pressure      |Keen Eye      |Metal Coat (common), Stone Plate (rare)
114|Tangela         |GRASS            |  65|  55| 115| 100|  40|  60|Bulletproof   |Rattled       |Fur Coat      |
115|Kangaskhan      |NORMAL           | 105|  95|  80|  40|  80|  90|Mummy         |Light Metal   |Anger Point   |Razor Claw (100%)
116|Horsea          |WATER            |  30|  40|  70|  70|  25|  60|Water Absorb  |Symbiosis     |Infiltrator   |Plume Fossil (rare)
117|Seadra          |WATER            |  55|  65|  95|  95|  45|  85|Water Absorb  |Symbiosis     |Infiltrator   |
118|Goldeen         |WATER            |  45|  67|  60|  35|  50|  63|Gluttony      |Pickpocket    |Clear Body    |
119|Seaking         |WATER            |  80|  92|  65|  65|  80|  68|Gluttony      |Pickpocket    |Clear Body    |Grip Claw (100%)
120|Staryu          |WATER            |  30|  45|  55|  70|  55|  85|Solid Rock    |Hustle        |Magic Bounce  |
121|Starmie         |WATER/PSYCHIC    |  60|  75|  85| 100|  85| 115|Solid Rock    |Hustle        |Magic Bounce  |Electirizer (common), Potion (rare)
122|Mr. Mime        |PSYCHIC/FAIRY    |  40|  45|  65| 100| 120|  90|Harvest       |Own Tempo     |Fur Coat      |
123|Scyther         |BUG/FLYING       |  70| 110|  80|  55|  80| 105|Justified     |Unburden      |Bad Dreams    |Venusaurite (common), X Defense (rare)
124|Jynx            |ICE/PSYCHIC      |  65|  50|  35| 115|  95|  95|Torrent       |Dark Aura     |Rough Skin    |Power Anklet (common), Kebia Berry (rare)
125|Electabuzz      |ELECTRIC         |  65|  83|  57|  95|  85| 105|Rock Head     |Flare Boost   |Grass Pelt    |
126|Magmar          |FIRE             |  65|  95|  57| 100|  85|  93|Flower Veil   |Sheer Force   |Light Metal   |
127|Pinsir          |BUG              |  65| 125| 100|  55|  70|  85|Mega Launcher |Unnerve       |Wonder Skin   |Premier Ball (common), Fluffy Tail (rare)
128|Tauros          |NORMAL           |  75| 100|  95|  40|  70| 110|Trace         |Oblivious     |White Smoke   |
129|Magikarp        |WATER            |  20|  10|  55|  15|  20|  80|Tangled Feet  |Imposter      |Volt Absorb   |Whipped Dream (rare)
130|Gyarados        |WATER/FLYING     |  95| 125|  79|  60| 100|  81|Tangled Feet  |Imposter      |Volt Absorb   |Pecha Berry (common), Spooky Plate (rare)
131|Lapras          |WATER/ICE        | 130|  85|  80|  85|  95|  60|Moody         |Flame Body    |Telepathy     |Steel Gem (100%)
132|Ditto           |NORMAL           |  48|  48|  48|  48|  48|  48|Normalize     |Clear Body    |Adaptability  |Shed Shell (common)
133|Eevee           |NORMAL           |  55|  55|  50|  45|  65|  55|Tough Claws   |Infiltrator   |Aroma Veil    |
134|Vaporeon        |WATER            | 130|  65|  60| 110|  95|  65|Sand Veil     |Gooey         |Bulletproof   |Plume Fossil (common), Jaw Fossil (rare)
135|Jolteon         |ELECTRIC         |  65|  65|  60| 110|  95| 130|Unburden      |Drizzle       |Compound Eyes |Ampharosite (100%)
136|Flareon         |FIRE             |  65| 130|  60|  95| 110|  65|Light Metal   |Immunity      |Magic Bounce  |
137|Porygon         |NORMAL           |  65|  60|  70|  85|  75|  40|Early Bird    |Refrigerate   |Hydration     |Kee Berry (common), X Attack (rare)
138|Omanyte         |ROCK/WATER       |  35|  40| 100|  90|  55|  35|Heatproof     |Rough Skin    |Cursed Body   |
139|Omastar         |ROCK/WATER       |  70|  60| 125| 115|  70|  55|Heatproof     |Rough Skin    |Cursed Body   |Big Nugget (common)
140|Kabuto          |ROCK/WATER       |  30|  80|  90|  55|  45|  55|Cloud Nine    |Drought       |Water Veil    |Ganlon Berry (common)
141|Kabutops        |ROCK/WATER       |  60| 115| 105|  65|  70|  80|Cloud Nine    |Drought       |Water Veil    |
142|Aerodactyl      |ROCK/FLYING      |  80| 105|  65|  60|  75| 130|Pickup        |Dark Aura     |Tinted Lens   |Spooky Plate (100%)
143|Snorlax         |NORMAL           | 160| 110|  65|  65| 110|  30|Immunity      |Hustle        |Unaware       |Absorb Bulb (100%)
144|Articuno        |ICE/FLYING       |  90|  85| 100|  95| 125|  85|Synchronize   |Lightning Rod |Ice Body      |Sticky Barb (common)
145|Zapdos          |ELECTRIC/FLYING  |  90|  90|  85| 125|  90| 100|Technician    |Gale Wings    |Rain Dish     |
146|Moltres         |FIRE/FLYING      |  90| 100|  90| 125|  85|  90|Motor Drive   |Illusion      |Swift Swim    |Ground Gem (common)
147|Dratini         |DRAGON           |  41|  64|  45|  50|  50|  50|Prankster     |Sap Sipper    |Adaptability  |
148|Dragonair       |DRAGON           |  61|  84|  65|  70|  70|  70|Prankster     |Sap Sipper    |Adaptability  |Helix Fossil (rare)
149|Dragonite       |DRAGON/FLYING    |  91| 134|  95| 100| 100|  80|Prankster     |Sap Sipper    |Adaptability  |
150|Mewtwo          |PSYCHIC          | 106| 110|  90| 154|  90| 130|Refrigerate   |Pickpocket    |Gale Wings    |Water Stone (common), Earth Plate (rare)
151|Mew             |PSYCHIC          | 100| 100| 100| 100| 100| 100|Mummy         |Sturdy        |Overgrow      |Quick Ball (100%)
152|Chikorita       |GRASS            |  45|  49|  65|  49|  65|  45|Cute Charm    |Inner Focus   |Illusion      |
153|Bayleef         |GRASS            |  60|  62|  80|  63|  80|  60|Cute Charm    |Inner Focus   |Illusion      |Poison Barb (rare)
154|Meganium        |GRASS            |  80|  82| 100|  83| 100|  80|Cute Charm    |Inner Focus   |Illusion      |
155|Cyndaquil       |FIRE             |  39|  52|  43|  60|  50|  65|Harvest       |Gluttony      |Magic Guard   |Pearl String (common)
156|Quilava         |FIRE             |  58|  64|  58|  80|  65|  80|Harvest       |Gluttony      |Magic Guard   |Zoom Lens (rare)
157|Typhlosion      |FIRE             |  78|  84|  78| 109|  85| 100|Harvest       |Gluttony      |Magic Guard   |
158|Totodile        |WATER            |  50|  65|  64|  44|  48|  43|Bad Dreams    |Immunity      |Hyper Cutter  |Miracle Seed (common)
159|Croconaw        |WATER            |  65|  80|  80|  59|  63|  58|Bad Dreams    |Immunity      |Hyper Cutter  |
160|Feraligatr      |WATER            |  85| 105| 100|  79|  83|  78|Bad Dreams    |Immunity      |Hyper Cutter  |
161|Sentret         |NORMAL           |  35|  46|  34|  35|  45|  20|Super Luck    |Illuminate    |Sand Rush     |Silk Scarf (common), Babiri Berry (rare)
162|Furret          |NORMAL           |  85|  76|  64|  45|  55|  90|Super Luck    |Illuminate    |Sand Rush     |
163|Hoothoot        |NORMAL/FLYING    |  60|  30|  30|  36|  56|  50|Skill Link    |Lightning Rod |Fur Coat      |Berry Juice (100%)
164|Noctowl         |NORMAL/FLYING    | 100|  50|  50|  76|  96|  70|Skill Link    |Lightning Rod |Fur Coat      |Electric Gem (common), Carbos (rare)
165|Ledyba          |BUG/FLYING       |  40|  20|  30|  40|  80|  55|Infiltrator   |Reckless      |Oblivious     |Expert Belt (rare)
166|Ledian          |BUG/FLYING       |  55|  35|  50|  55| 110|  85|Infiltrator   |Reckless      |Oblivious     |Lucky Egg (rare)
167|Spinarak        |BUG/POISON       |  40|  60|  40|  40|  40|  30|Chlorophyll   |Wonder Skin   |Tangled Feet  |
168|Ariados         |BUG/POISON       |  70|  90|  70|  60|  60|  40|Chlorophyll   |Wonder Skin   |Tangled Feet  |
169|Crobat          |POISON/FLYING    |  85|  90|  80|  70|  80| 130|Aftermath     |Justified     |Dark Aura     |Scope Lens (common)
170|Chinchou        |WATER/ELECTRIC   |  75|  38|  38|  56|  56|  67|Rattled       |Water Veil    |Sweet Veil    |
171|Lanturn         |WATER/ELECTRIC   | 125|  58|  58|  76|  76|  67|Rattled       |Water Veil    |Sweet Veil    |
172|Pichu           |ELECTRIC         |  20|  40|  15|  35|  35|  60|Telepathy     |Suction Cups  |Tangled Feet  |Snowball (rare)
173|Cleffa          |FAIRY            |  50|  25|  28|  45|  55|  15|Technician    |Multiscale    |Sniper        |Comet Shard (common)
174|Igglybuff       |NORMAL/FAIRY     |  90|  30|  15|  40|  20|  15|Speed Boost   |Healer        |No Guard      |Heal Ball (common)
175|Togepi          |FAIRY            |  35|  20|  65|  40|  65|  20|Hustle        |Solar Power   |Dark Aura     |Ghost Gem (common), Rawst Berry (rare)
176|Togetic         |FAIRY/FLYING     |  55|  40|  85|  80| 105|  40|Hustle        |Solar Power   |Dark Aura     |
177|Natu            |PSYCHIC/FLYING   |  40|  50|  45|  70|  45|  70|Chlorophyll   |Hydration     |Flare Boost   |Berry Juice (common)
178|Xatu            |PSYCHIC/FLYING   |  65|  75|  70|  95|  70|  95|Chlorophyll   |Hydration     |Flare Boost   |Mystic Water (100%)
179|Mareep          |ELECTRIC         |  55|  40|  40|  65|  45|  35|Leaf Guard    |Bad Dreams    |Pickpocket    |
180|Flaaffy         |ELECTRIC         |  70|  55|  55|  80|  60|  45|Leaf Guard    |Bad Dreams    |Pickpocket    |White Flute (rare)
181|Ampharos        |ELECTRIC         |  90|  75|  85| 115|  90|  55|Leaf Guard    |Bad Dreams    |Pickpocket    |
182|Bellossom       |GRASS            |  75|  80|  95|  90| 100|  50|Magic Guard   |Wonder Skin   |Pickpocket    |Grass Gem (common), Metal Coat (rare)
183|Marill          |WATER/FAIRY      |  70|  20|  50|  20|  50|  40|Drought       |Marvel Scale  |Own Tempo     |
184|Azumarill       |WATER/FAIRY      | 100|  50|  80|  60|  80|  50|Drought       |Marvel Scale  |Own Tempo     |Flame Orb (rare)
185|Sudowoodo       |ROCK             |  70| 100| 115|  30|  65|  30|Early Bird    |Aerilate      |Drought       |
186|Politoed        |WATER            |  90|  75|  75|  90| 100|  70|Shell Armor   |Snow Cloak    |Sand Stream   |X Defense (common), Shell Bell (rare)
187|Hoppip          |GRASS/FLYING     |  35|  35|  40|  35|  55|  50|Analytic      |Shield Dust   |Snow Cloak    |
188|Skiploom        |GRASS/FLYING     |  55|  45|  50|  45|  65|  80|Analytic      |Shield Dust   |Snow Cloak    |
189|Jumpluff        |GRASS/FLYING     |  75|  55|  70|  55|  95| 110|Analytic      |Shield Dust   |Snow Cloak    |
190|Aipom           |NORMAL           |  55|  70|  55|  40|  55|  85|Sheer Force   |Flower Veil   |Speed Boost   |
191|Sunkern         |GRASS            |  30|  30|  30|  30|  30|  30|Gooey         |Aroma Veil    |Early Bird    |
192|Sunflora        |GRASS            |  75|  75|  55| 105|  85|  30|Gooey         |Aroma Veil    |Early Bird    |
193|Yanma           |BUG/FLYING       |  65|  65|  45|  75|  45|  95|Illuminate    |Lightning Rod |Rivalry       |
194|Wooper          |WATER/GROUND     |  55|  45|  45|  25|  25|  15|Immunity      |Magician      |Overcoat      |
195|Quagsire        |WATER/GROUND     |  95|  85|  85|  65|  65|  35|Immunity      |Magician      |Overcoat      |
196|Espeon          |PSYCHIC          |  65|  65|  60| 130|  95| 110|Keen Eye      |Flash Fire    |Trace         |Moomoo Milk (common), Sky Plate (rare)
197|Umbreon         |DARK             |  95|  65| 110|  60| 130|  65|Grass Pelt    |Multiscale    |Effect Spore  |
198|Murkrow         |DARK/FLYING      |  60|  85|  42|  85|  42|  91|Ice Body      |Parental Bond |Volt Absorb   |Cheri Berry (common)
199|Slowking        |WATER/PSYCHIC    |  95|  75|  80| 100| 110|  30|Overgrow      |Stench        |Color Change  |
200|Misdreavus      |GHOST            |  60|  60|  60|  85|  85|  85|Liquid Ooze   |Bad Dreams    |Aerilate      |
201|Unown           |PSYCHIC          |  48|  72|  48|  72|  48|  48|Dark Aura     |No Guard      |Fur Coat      |
202|Wobbuffet       |PSYCHIC          | 190|  33|  58|  33|  58|  33|Lightning Rod |Unaware       |Early Bird    |
203|Girafarig       |NORMAL/PSYCHIC   |  70|  80|  65|  90|  65|  85|Sand Rush     |Leaf Guard    |Limber        |Energy Powder (common)
204|Pineco          |BUG              |  50|  65|  90|  35|  35|  15|Storm Drain   |Insomnia      |Fairy Aura    |
205|Forretress      |BUG/STEEL        |  75|  90| 140|  60|  60|  40|Storm Drain   |Insomnia      |Fairy Aura    |Master Ball (rare)
206|Dunsparce       |NORMAL           | 100|  70|  70|  65|  65|  45|Sheer Force   |Strong Jaw    |White Smoke   |Occa Berry (100%)
207|Gligar          |GROUND/FLYING    |  65|  75| 105|  35|  65|  85|Oblivious     |Mega Launcher |Illusion      |
208|Steelix         |STEEL/GROUND     |  75|  85| 200|  55|  65|  30|Skill Link    |Pressure      |Pickpocket    |
209|Snubbull        |FAIRY            |  60|  80|  50|  40|  40|  30|Hustle        |Light Metal   |Parental Bond |Wacan Berry (common), Leaf Stone (rare)
210|Granbull        |FAIRY            |  90| 120|  75|  60|  60|  45|Hustle        |Light Metal   |Parental Bond |
