Randomizer Version: 4.6.0
Random Seed: 141708394892133
Settings String: 321aQgEejiDAYYBiQGy0AKeAh8iagfQatA+CQABmgAAAAAAPAyA0NnaeaaJCTIGBQDkEQUQFFBva2Vtb24gUGxhdGludW0gKEcp7r7ouOPDOIo=

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
 20|Rattikarl    |NORMAL           |  55|  81|  60|  50|  70|  97|Flexibilität| -          |TM33 (common), Blitztafel (rare)
 21|Habitak      |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|Schwebe     |Angsthase   |
 22|Ibitak       |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|Schwebe     |Angsthase   |
 23|Rettan       |POISON           |  35|  60|  44|  40|  54|  55|Magieschild | -          |
 24|Arbok        |POISON           |  60|  85|  69|  65|  79|  80|Magieschild | -          |TM36 (common)
 25|Pikachu      |ELECTRIC         |  35|  55|  30|  50|  40|  90|Edelmut     |Puderabwehr |
 26|Raichu       |ELECTRIC         |  60|  90|  55|  90|  80| 100|Edelmut     |Puderabwehr |
 27|Sandan       |GROUND           |  50|  75|  85|  20|  30|  40|Übereifer   |Kloakensoße |Panzerfossil (common)
 28|Sandamer     |GROUND           |  75| 100| 110|  45|  55|  65|Übereifer   |Kloakensoße |
 29|Nidoran♀     |POISON           |  55|  47|  52|  40|  40|  41|Niesel      | -          |Käfertafel (rare)
 30|Nidorina     |POISON           |  70|  62|  67|  55|  55|  56|Niesel      | -          |Apikobeere (common)
 31|Nidoqueen    |POISON/GROUND    |  90|  82|  87|  75|  85|  76|Niesel      | -          |
 32|Nidoran♂     |POISON           |  46|  57|  40|  40|  40|  50|Angsthase   |Bedroher    |
 33|Nidorino     |POISON           |  61|  72|  57|  55|  55|  65|Angsthase   |Bedroher    |Giftstich (common), TM24 (rare)
 34|Nidoking     |POISON/GROUND    |  81|  92|  77|  85|  75|  85|Angsthase   |Bedroher    |
 35|Piepi        |NORMAL           |  70|  45|  48|  60|  65|  35|Magmapanzer | -          |
 36|Pixi         |NORMAL           |  95|  70|  73|  85|  90|  60|Magmapanzer | -          |
 37|Vulpix       |FIRE             |  38|  41|  40|  50|  65|  65|Edelmut     | -          |X-Spezial (100%)
 38|Vulnona      |FIRE             |  73|  76|  75|  81| 100| 100|Edelmut     | -          |TM64 (100%)
 39|Pummeluff    |NORMAL           | 115|  45|  20|  45|  25|  20|Notschutz   |Innere Kraft|
 40|Knuddeluff   |NORMAL           | 140|  70|  45|  75|  50|  45|Notschutz   |Innere Kraft|Fragiabeere (common)
 41|Zubat        |POISON/FLYING    |  40|  45|  35|  30|  40|  55|H2O-Absorber|Mitnahme    |Gelbstück (common)
 42|Golbat       |POISON/FLYING    |  75|  80|  70|  65|  75|  90|H2O-Absorber|Mitnahme    |Zink (100%)
 43|Myrapla      |GRASS/POISON     |  45|  50|  55|  75|  65|  30|Schildlos   | -          |
 44|Duflor       |GRASS/POISON     |  60|  65|  70|  85|  75|  40|Schildlos   | -          |Riesenperle (rare)
 45|Giflor       |GRASS/POISON     |  75|  80|  85| 100|  90|  50|Angsthase   | -          |Persimbeere (100%)
 46|Paras        |BUG/GRASS        |  35|  70|  55|  45|  55|  25|Duftnote    |Floraschild |
 47|Parasek      |BUG/GRASS        |  60|  95|  80|  60|  80|  30|Duftnote    |Floraschild |
 48|Bluzuk       |BUG/POISON       |  60|  55|  50|  40|  55|  45|Schneemantel|Duftnote    |Schw. Flöte (common)
 49|Omot         |BUG/POISON       |  70|  65|  60|  90|  75|  90|Schneemantel|Duftnote    |
 50|Digda        |GROUND           |  10|  55|  25|  35|  45|  95|Giftdorn    |Temposchub  |Sonderbonbon (common), Klettdorn (rare)
 51|Digdri       |GROUND           |  35|  80|  50|  50|  70| 120|Giftdorn    |Temposchub  |
 52|Mauzi        |NORMAL           |  40|  45|  35|  40|  40|  90|Farbwechsel |Saugnapf    |
 53|Snobilikat   |NORMAL           |  65|  70|  60|  65|  65| 115|Farbwechsel |Saugnapf    |
 54|Enton        |WATER            |  50|  52|  48|  65|  50|  55|Dürre       |Schneemantel|
 55|Entoron      |WATER            |  80|  82|  78|  95|  80|  85|Dürre       |Schneemantel|Glücks-Ei (common)
 56|Menki        |FIGHTING         |  40|  80|  35|  35|  45|  70|Blitzfänger | -          |Aufwecker (rare)
 57|Rasaff       |FIGHTING         |  65| 105|  60|  60|  70|  95|Blitzfänger | -          |
 58|Fukano       |FIRE             |  55|  70|  45|  70|  50|  60|Kloakensoße | -          |TM51 (100%)
 59|Arkani       |FIRE             |  90| 110|  80| 100|  80|  95|Kloakensoße | -          |TM35 (100%)
 60|Quapsel      |WATER            |  40|  50|  40|  40|  40|  90|Schneemantel| -          |Lichtlehm (100%)
 61|Quaputzi     |WATER            |  65|  65|  65|  50|  50|  90|Schneemantel| -          |
 62|Quappo       |WATER/FIGHTING   |  90|  85|  95|  70|  90|  70|Kraftkoloss | -          |
 63|Abra         |PSYCHIC          |  25|  20|  15| 105|  55|  90|Felskern    | -          |
 64|Kadabra      |PSYCHIC          |  40|  35|  30| 120|  70| 105|Felskern    | -          |
 65|Simsala      |PSYCHIC          |  55|  50|  45| 135|  85| 120|Felskern    | -          |Kalzium (common), Abyssplatte (rare)
 66|Machollo     |FIGHTING         |  70|  80|  50|  35|  35|  35|Feuerfänger | -          |
 67|Maschock     |FIGHTING         |  80| 100|  70|  50|  60|  45|Feuerfänger | -          |TM04 (common), Jonagobeere (rare)
 68|Machomei     |FIGHTING         |  90| 130|  80|  65|  85|  55|Feuerfänger | -          |
 69|Knofensa     |GRASS/POISON     |  50|  75|  35|  70|  30|  40|Insomnia    | -          |Seegesang (rare)
 70|Ultrigaria   |GRASS/POISON     |  65|  90|  50|  85|  45|  55|Insomnia    | -          |
 71|Sarzenia     |GRASS/POISON     |  80| 105|  65| 100|  60|  70|Insomnia    | -          |
 72|Tentacha     |WATER/POISON     |  40|  40|  35|  50| 100|  70|Eishaut     |Eisenfaust  |
 73|Tentoxa      |WATER/POISON     |  80|  70|  65|  80| 120| 100|Eishaut     |Eisenfaust  |Domfossil (common)
 74|Kleinstein   |ROCK/GROUND      |  40|  80| 100|  30|  30|  20|Munterkeit  |Magmapanzer |
 75|Georok       |ROCK/GROUND      |  55|  95| 115|  45|  45|  35|Munterkeit  |Magmapanzer |Wundersaat (rare)
 76|Geowaz       |ROCK/GROUND      |  80| 110| 130|  55|  65|  45|Munterkeit  |Magmapanzer |
 77|Ponita       |FIRE             |  50|  85|  55|  65|  65|  90|Steinhaupt  |Achtlos     |TM62 (common)
 78|Gallopa      |FIRE             |  65| 100|  70|  80|  80| 105|Steinhaupt  |Achtlos     |TM59 (rare)
 79|Flegmon      |WATER/PSYCHIC    |  90|  65|  65|  40|  40|  15|Giftdorn    |Tempomacher |Jonagobeere (common)
 80|Lahmus       |WATER/PSYCHIC    |  95|  75| 110| 100|  80|  30|Insomnia    |Kampfpanzer |Magmaisierer (rare)
 81|Magnetilo    |ELECTRIC/STEEL   |  25|  35|  70|  95|  55|  45|Finalschlag | -          |
 82|Magneton     |ELECTRIC/STEEL   |  50|  60|  95| 120|  70|  70|Finalschlag | -          |
 83|Porenta      |NORMAL/FLYING    |  52|  65|  55|  58|  62|  60|Rauflust    |Anpassung   |
 84|Dodu         |NORMAL/FLYING    |  35|  85|  45|  35|  35|  75|Speckschicht| -          |
 85|Dodri        |NORMAL/FLYING    |  60| 110|  70|  60|  60| 100|Speckschicht| -          |
 86|Jurob        |WATER            |  65|  45|  55|  45|  70|  45|Erzwinger   | -          |
 87|Jugong       |WATER/ICE        |  90|  70|  80|  70|  95|  70|Erzwinger   | -          |Maronbeere (rare)
 88|Sleima       |POISON           |  80|  80|  50|  40|  50|  25|Sturzbach   | -          |
 89|Sleimok      |POISON           | 105| 105|  75|  65| 100|  50|Sturzbach   | -          |
 90|Muschas      |WATER            |  30|  65| 100|  45|  25|  40|Kurzschluss |Scherenmacht|TM09 (common), Großlinse (rare)
 91|Austos       |WATER/ICE        |  50|  95| 180|  85|  45|  70|Kurzschluss |Scherenmacht|
 92|Nebulak      |GHOST/POISON     |  30|  35|  30| 100|  35|  80|Robustheit  | -          |Kiroyabeere (common)
 93|Alpollo      |GHOST/POISON     |  45|  50|  45| 115|  55|  95|Robustheit  | -          |
 94|Gengar       |GHOST/POISON     |  60|  65|  60| 130|  75| 110|Robustheit  | -          |Wundersaat (rare)
 95|Onix         |ROCK/GROUND      |  35|  45| 160|  30|  45|  70|Magmapanzer | -          |Hyperheiler (rare)
 96|Traumato     |PSYCHIC          |  60|  48|  45|  43|  90|  42|Feuchtigkeit|Feuerfänger |
 97|Hypno        |PSYCHIC          |  85|  73|  70|  73| 115|  67|Feuchtigkeit|Feuerfänger |Seidenschal (common)
 98|Krabby       |WATER            |  30| 105|  90|  25|  25|  50|Charmebolzen|Flammkörper |
 99|Kingler      |WATER            |  55| 130| 115|  50|  50|  75|Charmebolzen|Flammkörper |Magmaisierer (common), TM75 (rare)
100|Voltobal     |ELECTRIC         |  40|  30|  50|  55|  55| 100|Angsthase   | -          |Leuchtstein (common)
101|Lektrobal    |ELECTRIC         |  60|  50|  70|  80|  80| 140|Angsthase   | -          |Schwarzgurt (rare)
102|Owei         |GRASS/PSYCHIC    |  60|  40|  80|  60|  45|  40|Wolke Sieben|Notschutz   |
103|Kokowei      |GRASS/PSYCHIC    |  95|  95|  85| 125|  65|  55|Wolke Sieben|Notschutz   |
104|Tragosso     |GROUND           |  50|  50|  95|  40|  50|  35|Wolke Sieben|Saugnapf    |
105|Knogga       |GROUND           |  60|  80| 110|  50|  80|  45|Wolke Sieben|Saugnapf    |Elixier (common)
106|Kicklee      |FIGHTING         |  50| 120|  53|  35| 110|  87|Schwebe     |Entlastung  |Lydzibeere (rare)
107|Nockchan     |FIGHTING         |  50| 105|  79|  35| 110|  76|Filter      | -          |
108|Schlurp      |NORMAL           |  90|  55|  75|  60|  75|  30|Sturmsog    | -          |
109|Smogon       |POISON           |  40|  65|  95|  60|  45|  35|Unkenntnis  |Temposchub  |Prunusbeere (rare)
110|Smogmog      |POISON           |  65|  90| 120|  85|  70|  60|Unkenntnis  |Temposchub  |
111|Rihorn       |GROUND/ROCK      |  80|  85|  95|  30|  30|  25|Scherenmacht| -          |Helixfossil (common), TM08 (rare)
112|Rizeros      |GROUND/ROCK      | 105| 130| 120|  45|  45|  40|Scherenmacht| -          |
113|Chaneira     |NORMAL           | 250|   5|   5|  35| 105|  50|Angsthase   | -          |Megablock (rare)
114|Tangela      |GRASS            |  65|  55| 115| 100|  40|  60|Giftdorn    | -          |Scharfklaue (100%)
115|Kangama      |NORMAL           | 105|  95|  80|  40|  80|  90|Tempomacher | -          |TM16 (common), Blaue Flöte (rare)
116|Seeper       |WATER            |  30|  40|  70|  70|  25|  60|Voltabsorber|Farbwechsel |
117|Seemon       |WATER            |  55|  65|  95|  95|  45|  85|Voltabsorber|Farbwechsel |TM19 (rare)
118|Goldini      |WATER            |  45|  67|  60|  35|  50|  63|Download    |Floraschild |
119|Golking      |WATER            |  80|  92|  65|  65|  80|  68|Download    |Floraschild |Hirntafel (common)
120|Sterndu      |WATER            |  30|  45|  55|  70|  55|  85|Hitzeschutz |Eishaut     |Schutzband (common), Top-Elixier (rare)
121|Starmie      |WATER/PSYCHIC    |  60|  75|  85| 100|  85| 115|Hitzeschutz |Eishaut     |Terirobeere (rare)
122|Pantimos     |PSYCHIC          |  40|  45|  65| 100| 120|  90|Wassertempo | -          |
123|Sichlor      |BUG/FLYING       |  70| 110|  80|  55|  80| 105|Sturmsog    |Überbrückung|
124|Rossana      |ICE/PSYCHIC      |  65|  50|  35| 115|  95|  95|Flammkörper | -          |TM04 (100%)
125|Elektek      |ELECTRIC         |  65|  83|  57|  95|  85| 105|Neutraltorso|Lärmschutz  |
126|Magmar       |FIRE             |  65|  95|  57| 100|  85|  93|Scherenmacht|Aufwertung  |
127|Pinsir       |BUG              |  65| 125| 100|  55|  70|  85|Magieschild | -          |
128|Tauros       |NORMAL           |  75| 100|  95|  40|  70| 110|Steinhaupt  |Feuerfänger |
129|Karpador     |WATER            |  20|  10|  55|  15|  20|  80|Dürre       |Wertehalter |
130|Garados      |WATER/FLYING     |  95| 125|  79|  60| 100|  81|Dürre       |Wertehalter |
131|Lapras       |WATER/ICE        | 130|  85|  80|  85|  95|  60|Konzentrator| -          |
132|Ditto        |NORMAL           |  48|  48|  48|  48|  48|  48|Konzentrator|Adrenalin   |TM70 (common), Top-Trank (rare)
133|Evoli        |NORMAL           |  55|  55|  50|  45|  65|  55|Wassertempo |Hexaplaga   |Jabocabeere (common)
134|Aquana       |WATER            | 130|  65|  60| 110|  95|  65|Bedroher    | -          |
135|Blitza       |ELECTRIC         |  65|  65|  60| 110|  95| 130|Hexaplaga   | -          |X-Angriff (common)
136|Flamara      |FIRE             |  65| 130|  60|  95| 110|  65|Anpassung   |Fußangel    |
137|Porygon      |NORMAL           |  65|  60|  70|  85|  75|  40|Überbrückung|Sandschleier|Magmaisierer (common)
138|Amonitas     |ROCK/WATER       |  35|  40| 100|  90|  55|  35|Finalschlag | -          |
139|Amoroso      |ROCK/WATER       |  70|  60| 125| 115|  70|  55|Finalschlag | -          |
140|Kabuto       |ROCK/WATER       |  30|  80|  90|  55|  45|  55|Kurzschluss |Sporenwirt  |
141|Kabutops     |ROCK/WATER       |  60| 115| 105|  65|  70|  80|Kurzschluss |Sporenwirt  |Zauberasche (common), TM63 (rare)
142|Aerodactyl   |ROCK/FLYING      |  80| 105|  65|  60|  75| 130|Eisenfaust  | -          |Wechselhülle (common), Feuerstein (rare)
143|Relaxo       |NORMAL           | 160| 110|  65|  65| 110|  30|Flammkörper |Giftdorn    |TM87 (100%)
144|Arktos       |ICE/FLYING       |  90|  85| 100|  95| 125|  85|Farbwechsel | -          |
145|Zapdos       |ELECTRIC/FLYING  |  90|  90|  85| 125|  90| 100|Solarkraft  |Kurzschluss |
146|Lavados      |FIRE/FLYING      |  90| 100|  90| 125|  85|  90|Superschütze| -          |Wolkentafel (rare)
147|Dratini      |DRAGON           |  41|  64|  45|  50|  50|  50|Temposchub  |Immunität   |TM80 (common), TM06 (rare)
148|Dragonir     |DRAGON           |  61|  84|  65|  70|  70|  70|Temposchub  |Immunität   |
149|Dragoran     |DRAGON/FLYING    |  91| 134|  95| 100| 100|  80|Temposchub  |Immunität   |
150|Mewtu        |PSYCHIC          | 106| 110|  90| 154|  90| 130|Dürre       |Dösigkeit   |Tsitrubeere (rare)
151|Mew          |PSYCHIC          | 100| 100| 100| 100| 100| 100|Wankelmut   |Eishaut     |Dracotafel (100%)
152|Endivie      |GRASS            |  45|  49|  65|  49|  65|  45|Aufwertung  | -          |Dubiosdisc (rare)
153|Lorblatt     |GRASS            |  60|  62|  80|  63|  80|  60|Aufwertung  | -          |Altbernstein (rare)
154|Meganie      |GRASS            |  80|  82| 100|  83| 100|  80|Aufwertung  | -          |Jubelball (common)
155|Feurigel     |FIRE             |  39|  52|  43|  60|  50|  65|Glückspilz  | -          |
156|Igelavar     |FIRE             |  58|  64|  58|  80|  65|  80|Glückspilz  | -          |
157|Tornupto     |FIRE             |  78|  84|  78| 109|  85| 100|Glückspilz  | -          |
158|Karnimani    |WATER            |  50|  65|  64|  44|  48|  43|H2O-Absorber|Entlastung  |Zitarzbeere (common), Münzamulett (rare)
159|Tyracroc     |WATER            |  65|  80|  80|  59|  63|  58|H2O-Absorber|Entlastung  |
160|Impergator   |WATER            |  85| 105| 100|  79|  83|  78|H2O-Absorber|Entlastung  |Funkelstein (rare)
161|Wiesor       |NORMAL           |  35|  46|  34|  35|  45|  20|Wolke Sieben|Angsthase   |
162|Wiesenior    |NORMAL           |  85|  76|  64|  45|  55|  90|Wolke Sieben|Angsthase   |Lahmrauch (common)
163|Hoothoot     |NORMAL/FLYING    |  60|  30|  30|  36|  56|  50|Regulierung | -          |
164|Noctuh       |NORMAL/FLYING    | 100|  50|  50|  76|  96|  70|Regulierung | -          |
165|Ledyba       |BUG/FLYING       |  40|  20|  30|  40|  80|  55|Hydration   |Mitnahme    |
166|Ledian       |BUG/FLYING       |  55|  35|  50|  55| 110|  85|Hydration   |Mitnahme    |Wundersaat (rare)
167|Webarak      |BUG/POISON       |  40|  60|  40|  40|  40|  30|Schwebe     | -          |Eipfelbeere (common), Jabocabeere (rare)
168|Ariados      |BUG/POISON       |  70|  90|  70|  60|  60|  40|Schwebe     | -          |
169|Iksbat       |POISON/FLYING    |  85|  90|  80|  70|  80| 130|H2O-Absorber|Mitnahme    |Steinrauch (common), Schlauglas (rare)
170|Lampi        |WATER/ELECTRIC   |  75|  38|  38|  56|  56|  67|Hexaplaga   | -          |
171|Lanturn      |WATER/ELECTRIC   | 125|  58|  58|  76|  76|  67|Hexaplaga   | -          |Zauberasche (rare)
172|Pichu        |ELECTRIC         |  20|  40|  15|  35|  35|  60|Edelmut     |Puderabwehr |Chiaribeere (common)
173|Pii          |NORMAL           |  50|  25|  28|  45|  55|  15|Magmapanzer | -          |
174|Fluffeluff   |NORMAL           |  90|  30|  15|  40|  20|  15|Notschutz   |Innere Kraft|TM52 (rare)
175|Togepi       |NORMAL           |  35|  20|  65|  40|  65|  20|Fußangel    |Duftnote    |
176|Togetic      |NORMAL/FLYING    |  55|  40|  85|  80| 105|  40|Fußangel    |Duftnote    |Fluchtseil (common)
177|Natu         |PSYCHIC/FLYING   |  40|  50|  45|  70|  45|  70|Giftdorn    |Erleuchtung |
178|Xatu         |PSYCHIC/FLYING   |  65|  75|  70|  95|  70|  95|Giftdorn    |Erleuchtung |Altbernstein (common)
179|Voltilamm    |ELECTRIC         |  55|  40|  40|  65|  45|  35|Duftnote    | -          |
180|Waaty        |ELECTRIC         |  70|  55|  55|  80|  60|  45|Duftnote    | -          |
181|Ampharos     |ELECTRIC         |  90|  75|  75| 115|  90|  55|Duftnote    | -          |
182|Blubella     |GRASS            |  75|  80|  85|  90| 100|  50|Saugnapf    |Rasanz      |Pokéball (common), Schützer (rare)
183|Marill       |WATER            |  70|  20|  50|  20|  50|  40|Blitzfänger | -          |TM86 (rare)
184|Azumarill    |WATER            | 100|  50|  80|  50|  80|  50|Blitzfänger | -          |Abysszahn (rare)
185|Mogelbaum    |ROCK             |  70| 100| 115|  30|  65|  30|Mentalkraft | -          |Safariball (common), Perle (rare)
186|Quaxo        |WATER            |  90|  75|  75|  90| 100|  70|Schneemantel|Feuchtigkeit|TM52 (100%)
187|Hoppspross   |GRASS/FLYING     |  35|  35|  40|  35|  55|  50|Felsenfest  | -          |Fluchtseil (100%)
188|Hubelupf     |GRASS/FLYING     |  55|  45|  50|  45|  65|  80|Felsenfest  | -          |Expertengurt (common), TM43 (rare)
189|Papungha     |GRASS/FLYING     |  75|  55|  70|  55|  85| 110|Felsenfest  | -          |
190|Griffel      |NORMAL           |  55|  70|  55|  40|  55|  85|Regengenuss | -          |TM69 (rare)
191|Sonnkern     |GRASS            |  30|  30|  30|  30|  30|  30|Eishaut     | -          |TM42 (common)
192|Sonnflora    |GRASS            |  75|  75|  55| 105|  85|  30|Eishaut     | -          |
193|Yanma        |BUG/FLYING       |  65|  65|  45|  75|  45|  95|Angsthase   |Blitzfänger |Honig (rare)
194|Felino       |WATER/GROUND     |  55|  45|  45|  25|  25|  15|Neutraltorso|Magmapanzer |TM29 (100%)
195|Morlord      |WATER/GROUND     |  95|  85|  85|  65|  65|  35|Neutraltorso|Magmapanzer |Top-Beleber (rare)
196|Psiana       |PSYCHIC          |  65|  65|  60| 130|  95| 110|Adrenalin   |Eisenfaust  |Laxrauch (rare)
197|Nachtara     |DARK             |  95|  65| 110|  60| 130|  65|Chlorophyll |Unkenntnis  |
198|Kramurx      |DARK/FLYING      |  60|  85|  42|  85|  42|  91|Übereifer   |Dösigkeit   |
199|Laschoking   |WATER/PSYCHIC    |  95|  75|  80| 100| 110|  30|Temposchub  |Rivalität   |Burleobeere (rare)
200|Traunfugil   |GHOST            |  60|  60|  60|  85|  85|  85|Steinhaupt  |Pulverrauch |
201|Icognito     |PSYCHIC          |  48|  72|  48|  72|  48|  48|Rasanz      |Robustheit  |TM71 (common), TM86 (rare)
202|Woingenau    |PSYCHIC          | 190|  33|  58|  33|  58|  33|Eishaut     | -          |Rauchball (common), Gelbe Flöte (rare)
203|Girafarig    |NORMAL/PSYCHIC   |  70|  80|  65|  90|  65|  85|Regengenuss | -          |
204|Tannza       |BUG              |  50|  65|  90|  35|  35|  15|Download    |Feuerfänger |
205|Forstellka   |BUG/STEEL        |  75|  90| 140|  60|  60|  40|Download    |Feuerfänger |
206|Dummisel     |NORMAL           | 100|  70|  70|  65|  65|  45|Filter      | -          |Kobabeere (common)
207|Skorgla      |GROUND/FLYING    |  65|  75| 105|  35|  65|  85|Niesel      | -          |Eneco-Rute (common), Scheuchrauch (rare)
208|Stahlos      |STEEL/GROUND     |  75|  85| 200|  55|  65|  30|Magmapanzer | -          |
209|Snubbull     |NORMAL           |  60|  80|  50|  40|  40|  30|Notdünger   |Hexaplaga   |Zitarzbeere (common)
210|Granbull     |NORMAL           |  90| 120|  75|  60|  60|  45|Notdünger   |Hexaplaga   |Sonderbonbon (rare)
211|Baldorfish   |WATER/POISON     |  65|  95|  75|  55|  55|  85|Speckschicht| -          |
212|Scherox      |BUG/STEEL        |  70| 130| 100|  55|  80|  65|Sturmsog    |Überbrückung|
213|Pottrott     |BUG/ROCK         |  20|  10| 230|  10| 230|   5|Adrenalin   |Hydration   |Scope-Linse (100%)
214|Skaraborn    |BUG/FIGHTING     |  80| 125|  75|  40|  95|  85|Saugnapf    | -          |Top-Schutz (common), Spezialität (rare)
215|Sniebel      |DARK/ICE         |  55|  95|  55|  35|  75| 115|Steinhaupt  |Lärmschutz  |
216|Teddiursa    |NORMAL           |  60|  80|  50|  50|  50|  40|Feuchtigkeit| -          |
217|Ursaring     |NORMAL           |  90| 130|  75|  75|  75|  55|Feuchtigkeit| -          |TM37 (rare)
218|Schneckmag   |FIRE             |  40|  40|  40|  70|  40|  20|Dürre       | -          |
219|Magcargo     |FIRE/ROCK        |  50|  50| 120|  80|  80|  30|Dürre       | -          |
220|Quiekel      |ICE/GROUND       |  50|  50|  40|  30|  30|  50|Überbrückung|Regulierung |
221|Keifel       |ICE/GROUND       | 100| 100|  80|  60|  60|  50|Überbrückung|Regulierung |
222|Corasonn     |WATER/ROCK       |  55|  55|  85|  65|  85|  35|Solarkraft  | -          |TM26 (common), TM68 (rare)
223|Remoraid     |WATER            |  35|  65|  35|  65|  35|  65|Facettenauge|Notschutz   |
224|Octillery    |WATER            |  75| 105|  75| 105|  75|  45|Facettenauge|Notschutz   |Zitarzbeere (common)
225|Botogel      |ICE/FLYING       |  45|  55|  45|  65|  45|  75|Saugnapf    |Aufheber    |
226|Mantax       |WATER/FLYING     |  65|  40|  70|  80| 140|  70|Blitzfänger | -          |TM26 (common), TM61 (rare)
227|Panzaeron    |STEEL/FLYING     |  65|  80| 140|  40|  70|  70|Entlastung  | -          |
228|Hunduster    |DARK/FIRE        |  45|  60|  30|  80|  50|  65|Duftnote    |Charmebolzen|Pirsifbeere (common), Limonade (rare)
229|Hundemon     |DARK/FIRE        |  75|  90|  50| 110|  80|  95|Duftnote    |Charmebolzen|
230|Seedraking   |WATER/DRAGON     |  75|  95|  95|  95|  95|  85|Voltabsorber|Farbwechsel |
231|Phanpy       |GROUND           |  90|  60|  60|  40|  40|  40|Notschutz   |Erleuchtung |Angriffplus (100%)
232|Donphan      |GROUND           |  90| 120| 120|  60|  60|  50|Notschutz   |Erleuchtung |Gelbstück (common)
233|Porygon2     |NORMAL           |  85|  80|  90| 105|  95|  60|Überbrückung|Sandschleier|KP-Plus (rare)
234|Damhirplex   |NORMAL           |  73|  95|  62|  85|  65|  85|Magmapanzer |Voltabsorber|TM69 (common), Granitstein (rare)
235|Farbeagle    |NORMAL           |  55|  20|  35|  20|  45|  75|Erleuchtung | -          |
236|Rabauz       |FIGHTING         |  35|  35|  35|  35|  35|  35|Anpassung   | -          |TM28 (rare)
237|Kapoera      |FIGHTING         |  50|  95|  95|  35| 110|  70|Sporenwirt  |Bedroher    |TM88 (rare)
238|Kussilla     |ICE/PSYCHIC      |  45|  30|  15|  85|  65|  65|Flammkörper | -          |Granitstein (100%)
239|Elekid       |ELECTRIC         |  45|  63|  37|  65|  55|  95|Neutraltorso|Lärmschutz  |TM13 (common), Sonnenstein (rare)
240|Magby        |FIRE             |  45|  75|  37|  70|  55|  83|Scherenmacht|Aufwertung  |TM09 (rare)
241|Miltank      |NORMAL           |  95|  80| 105|  40|  70| 100|Eisenfaust  | -          |Chiaribeere (100%)
242|Heiteira     |NORMAL           | 255|  10|  10|  75| 135|  55|Angsthase   | -          |
243|Raikou       |ELECTRIC         |  90|  85|  75| 115| 100| 115|Blitzfänger |Starthilfe  |Wolkentafel (rare)
244|Entei        |FIRE             | 115| 115|  85|  90|  75| 100|Übereifer   |Trockenheit |
245|Suicune      |WATER            | 100|  75| 115|  90| 115|  85|Wankelmut   | -          |
246|Larvitar     |ROCK/GROUND      |  50|  64|  50|  45|  50|  41|Glückspilz  | -          |
